,Bill_Date,On_peak,Off_peak,Usage_charge,Billed_amount,Billing_days
0,2016-01-01,365,1423.5,219.0,247.73,31
1,2016-02-01,292,1138.8,175.2,234.11,31
2,2016-03-01,130,507.0,78.0,123.85,29
3,2016-04-01,117,456.3,70.2,111.22,29
4,2016-05-01,136,530.4,81.6,118.37,29
5,2016-06-01,63,245.7,37.8,77.81,32
6,2016-07-01,110,429.0,66.0,86.67,30
7,2016-08-01,176,686.4,105.6,122.4,29
8,2016-09-01,357,1392.3,214.2,223.62,33
9,2016-10-01,235,916.5,141.0,152.54,29
10,2016-11-01,193,752.7,115.8,150.54,32
11,2016-12-01,344,1341.6,206.4,244.37,31
12,2017-01-01,347,1353.3,208.2,263.64,33
13,2017-02-01,330,1287.0,198.0,214.32,27
14,2017-03-01,185,1103.0,139.38,151.54,31
15,2017-04-01,179,704.0,109.26,118.79,29
16,2017-05-01,228,829.0,140.89,153.18,31
17,2017-06-01,359,1067.0,195.07,212.08,31
18,2017-07-01,468,1533.0,258.64,281.19,32
19,2017-08-01,400,1252.0,218.87,237.97,30
20,2017-09-01,432,1447.0,261.5,284.3,30
21,2017-10-01,253,777.0,158.83,172.69,31
22,2017-11-01,165,521.0,102.57,111.51,29
23,2017-12-01,186,912.0,139.27,151.42,31
24,2018-01-01,316,1869.0,245.88,267.32,33
25,2018-02-01,256,1229.0,185.2,201.35,29
26,2018-03-01,266,1337.0,194.5,202.91,26
27,2018-04-01,141,812.0,143.44,150.86,34
28,2018-05-01,167,791.0,154.7,163.07,29
29,2018-06-01,257,1051.0,208.55,219.76,30
30,2018-07-01,295,1482.0,269.93,283.98,33
31,2018-08-01,330,1470.0,275.71,290.15,29
32,2018-09-01,261,1375.0,245.48,257.96,26
33,2018-10-01,366,1705.0,311.34,327.19,25
34,2018-11-01,245,1036.0,184.4,193.49,30
35,2018-12-01,125,899.0,145.26,152.34,32
36,2019-01-01,151,1257.0,187.91,196.62,31
37,2019-02-01,121,1281.0,181.85,190.07,31
38,2019-03-01,128,1351.0,190.04,198.57,27
39,2019-04-01,95,683.0,111.62,115.15,31
40,2019-05-01,162,783.0,147.83,153.18,29
41,2019-06-01,131,722.0,127.51,138.53,31
42,2019-07-01,276,1254.0,219.52,238.48,31
43,2019-08-01,376,1636.0,284.9,309.65,30
44,2019-09-01,501,2139.0,371.61,403.89,34
45,2019-10-01,279,1309.0,224.52,244.03,27
46,2019-11-01,171,843.0,133.84,145.46,31
47,2019-12-01,99,927.0,128.12,139.26,32
48,2020-01-01,211,1761.0,231.71,251.85,31
49,2020-02-01,190,1635.0,210.86,229.18,32
50,2020-03-01,151,1179.0,156.56,170.16,29
51,2020-04-01,75,625.0,87.27,94.85,29
52,2020-05-01,147,686.0,124.39,135.19,29
